Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",CP_Radial_Tantal200mil,3,220u,
C16,C_Axial_200mil,1,10u,
"C17, C18, C19, C20",0805,4,0.1u,
C6,CP_Radial_Tantal200mil,1,47u,
"H17, H18, H19, H20",MountingHole_4_40,4,~,
"J10, J11, J25, J7",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02,
J12,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,
J2,PinHeader_2x12_P2.54mm_Vertical,1,Conn_02x12_Odd_Even,
J4,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J5,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
J6,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
"M1, M2",PinHeader_1x03_P2.54mm_Vertical,2,Motor_Servo,
R2,0805,1,100k,
"TP11, TP4, TP8",TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,3,TestPoint,
