Designator,Mid X,Mid Y,Rotation,Layer
C1,40.336,-78.232,90.0,top
C16,127.8332,-90.8196,90.0,top
C17,131.1352,-92.75,90.0,top
C18,35.1036,-80.7596,0.0,top
C19,118.2116,-85.8412,180.0,top
C2,111.4044,-87.2636,90.0,top
C20,118.3488,-97.0172,180.0,top
C3,111.4044,-95.798,270.0,top
C6,25.1976,-76.7464,180.0,top
J10,129.154,-96.7632,90.0,top
J11,22.8608,-70.9552,90.0,top
J12,22.9624,-64.9696,0.0,top
J2,131.1794,-71.006,180.0,top
J25,20.9304,-82.7408,180.0,top
J4,114.23,-56.43,180.0,top
J5,131.1794,-41.034,180.0,top
J6,41.9024,-84.0108,90.0,top
J7,29.8204,-82.7916,180.0,top
M1,119.568,-89.1432,270.0,top
M2,119.568,-93.7932,270.0,top
R2,45.67,-80.3532,0.0,top
TP11,132.08,-25.4,0.0,top
TP4,24.9944,-83.8076,90.0,top
TP8,32.4112,-76.2384,90.0,top
