Designator,Mid X,Mid Y,Rotation,Layer
J3,87.531573,-141.844,180.0,top
J9,81.481806,-136.340233,0.0,top
R1,30.127573,-155.9175,90.0,top
R3,27.587573,-155.9175,90.0,top
R4,25.047573,-155.9175,90.0,top
SW1,27.597806,-127.164,90.0,top
SW2,27.597806,-137.880233,90.0,top
SW3,27.597806,-148.5,90.0,top
TP1,87.277573,-122.54,0.0,top
TP10,93.119573,-139.05,90.0,top
TP12,93.119573,-152.766,90.0,top
TP13,93.119573,-157.338,90.0,top
TP14,93.119573,-148.194,90.0,top
TP2,93.119573,-134.478,90.0,top
TP3,93.119573,-120.762,90.0,top
TP46,93.119573,-116.19,90.0,top
TP5,93.119573,-129.906,90.0,top
TP6,93.119573,-125.334,90.0,top
TP7,93.119573,-143.622,90.0,top
TP9,87.277573,-116.19,0.0,top
