Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C14, C15, C7, C8",0805,8,1u,
"C21, C4, C5",CP_Radial_Tantal200mil,3,4.7u,
C9,CP_Radial_Tantal200mil,1,47u,
D5,LED_D5.0mm,1,+5V PWR,
D6,LED_D5.0mm,1,+3V3 PWR,
"FB1, FB2, FB3, FB4",0603,4,FerriteBead,
"H11, H12, H13, H14, H15, H16",MountingHole_4_40,6,~,
J13,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
J14,PinHeader_1x04_P2.54mm_Vertical,1,MQ-4 Gas Sensor,
J15,PinHeader_1x04_P2.54mm_Vertical,1,MQ-7 Gas Sensor,
J16,PinHeader_1x04_P2.54mm_Vertical,1,MQ-138 Gas Sensor,
J17,PinHeader_1x04_P2.54mm_Vertical,1,KY-026 Flame Sensor,
J18,PinHeader_1x10_P2.00mm_Vertical,1,Conn_01x10,
J19,PinHeader_1x05_P2.00mm_Vertical,1,Conn_01x05,
J20,PinHeader_1x06_P2.54mm_Vertical,1,HDC3022,
J22,PinHeader_1x05_P2.54mm_Vertical,1,MiCS-6814,
J23,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J8,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
"R10, R11, R22, R23, R24, R9",0805,6,18k,
"R12, R13, R14, R25, R26, R27",0805,6,33k,
"R15, R16, R17, R18, R28, R29, R30, R31",0805,8,10k,
R19,0805,1,560k,
R20,0805,1,150k,
R21,0805,1,15k,
"R32, R33",0805,2,0,
"R34, R7",0805,2,2k,
"R35, R6, R8",0805,3,1k,
R5,0805,1,330,
"TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP41, TP42, TP43, TP44, TP45",TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,31,TestPoint,
"U1, U4",TSSOP-10_3x3mm_P0.5mm,2,ADS1115IDGS,
"U2, U3",DIP-8_W7.62mm_LongPads,2,OPA2350,
