Designator,Mid X,Mid Y,Rotation,Layer
C10,248.47268,-77.02598,180.0,top
C11,244.43718,-77.02598,180.0,top
C12,240.26968,-77.02598,0.0,top
C13,244.45018,-89.21798,0.0,top
C14,244.43718,-83.73348,0.0,top
C15,253.07318,-50.71348,90.0,top
C21,205.82918,-95.01998,90.0,top
C4,212.17918,-84.13798,0.0,top
C5,214.21118,-91.75798,0.0,top
C7,223.86318,-88.52198,0.0,top
C8,223.86318,-82.93398,0.0,top
C9,262.00318,-53.40398,0.0,top
D5,259.90618,-74.23198,180.0,top
D6,259.90618,-83.37598,180.0,top
FB1,222.84718,-85.72798,90.0,top
FB2,224.87918,-85.72798,90.0,top
FB3,243.42118,-86.48698,90.0,top
FB4,245.45318,-86.48698,90.0,top
J13,236.81718,-95.05998,90.0,top
J14,228.18118,-69.65998,90.0,top
J15,206.85518,-69.65998,90.0,top
J16,184.49318,-76.26398,90.0,top
J17,165.03518,-73.46998,90.0,top
J18,199.92718,-93.14998,0.0,top
J19,177.12718,-96.46998,0.0,top
J20,173.57118,-91.24998,180.0,top
J22,250.53318,-54.67398,90.0,top
J23,236.15804,-75.75598,180.0,top
J8,231.96118,-101.91798,90.0,top
R10,223.94168,-73.53598,180.0,top
R11,219.94968,-73.53598,0.0,top
R12,227.82368,-76.07598,180.0,top
R13,223.94168,-76.07598,180.0,top
R14,219.94968,-76.07598,0.0,top
R15,226.91118,-87.75998,90.0,top
R16,226.91118,-83.69598,90.0,top
R17,220.81518,-83.69598,90.0,top
R18,218.52918,-80.90198,90.0,top
R19,244.69118,-50.71348,270.0,top
R20,247.58318,-50.71348,270.0,top
R21,250.27918,-50.71348,270.0,top
R22,248.47268,-71.94598,180.0,top
R23,244.43718,-71.94598,180.0,top
R24,240.26968,-71.94598,0.0,top
R25,248.47268,-74.48598,180.0,top
R26,244.43718,-74.48598,180.0,top
R27,240.26968,-74.48598,0.0,top
R28,247.48518,-84.49548,270.0,top
R29,249.26318,-81.59798,180.0,top
R30,241.38918,-84.45823,90.0,top
R31,239.10318,-81.59798,90.0,top
R32,262.72518,-63.05598,270.0,top
R33,263.48718,-66.35798,180.0,top
R34,263.48718,-69.91398,180.0,top
R35,263.45718,-79.05798,180.0,top
R5,241.808,-105.156,180.0,top
R6,233.23118,-105.72798,90.0,top
R7,225.61118,-105.72798,90.0,top
R8,230.69118,-105.72798,90.0,top
R9,227.82368,-73.53598,180.0,top
TP15,259.13918,-95.31398,270.0,top
TP16,259.13918,-89.72598,270.0,top
TP17,260.15518,-47.56198,90.0,top
TP18,260.15518,-42.73598,90.0,top
TP19,205.82918,-79.31198,270.0,top
TP20,230.21318,-87.94798,90.0,top
TP21,230.21318,-83.37598,90.0,top
TP22,215.98918,-73.72398,270.0,top
TP23,215.48118,-78.80398,270.0,top
TP24,253.58118,-80.58198,90.0,top
TP25,236.30918,-68.89798,90.0,top
TP26,231.99118,-73.97798,0.0,top
TP27,235.80118,-81.34398,0.0,top
TP28,199.73318,-78.80398,270.0,top
TP29,202.78118,-75.50198,90.0,top
TP30,240.88118,-55.18198,180.0,top
TP31,253.58118,-76.00998,90.0,top
TP32,253.58118,-71.43798,90.0,top
TP33,231.99118,-79.05798,0.0,top
TP34,207.86118,-73.72398,90.0,top
TP35,248.21718,-101.15598,270.0,top
TP36,253.55118,-101.15598,270.0,top
TP37,253.58118,-95.31398,270.0,top
TP38,259.13918,-101.15598,270.0,top
TP39,219.14004,-88.05398,0.0,top
TP40,204.05118,-88.96398,90.0,top
TP41,215.98918,-101.40998,180.0,top
TP42,210.14718,-101.40998,180.0,top
TP43,235.80118,-87.94798,180.0,top
TP44,253.58118,-89.72598,270.0,top
TP45,253.58118,-85.15398,270.0,top
U1,223.99918,-79.86998,90.0,top
U2,244.18318,-63.05598,0.0,top
U3,255.78318,-63.05598,0.0,top
U4,244.31918,-80.70148,90.0,top
